,index,Sample ID ,Sampling date,Sampling grid,US state,Latitude,Longitude,Elevation (m),Moisture,Open water (%),Developed open space (< 20% Impervious Cover) (%),Developed open space (> 20% Impervious Cover) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%),Number of Listeria isolates obtained,"Number of Listeria isolates selected for WGS (i.e., number of isolates with unique sigB)",If selected for soil property analysis: Yes(Y)/No(N),date_ymd,temp_mean,temp_min,temp_max,rh_mean,rh_min,rh_max,ppt_sum_mm,ppt_hours_gt0,wind_mean,wind_min,wind_max
0,0,NC-GSM-1,43041,29,NC,35.4739788,-83.8700778,487.79,0.428030303,2.63275005,1.647200578,0.167931753,0.027498824,94.91817525,0.27834688,0.117342312,0.153027809,0.0,0.05772654,6,1,Y,2017-11-02,15.816666666666665,11.5,22.5,79.83333333333333,55.0,96.0,3.0,2.0,10.991666666666667,8.5,13.8
1,1,NC-GSM-2,43041,29,NC,35.4849658,-83.8674553,584.73,0.424074074,2.510852863,1.444879212,0.133089266,0.027919357,95.2959032,0.310471648,0.105589749,0.113566708,0.0,0.057727994,4,1,Y,2017-11-02,15.016666666666666,10.7,21.7,79.58333333333333,54.0,96.0,3.0,2.0,10.991666666666667,8.5,13.8
2,2,NC-GSM-3,43041,29,NC,35.4814719,-83.8587408,779.8,0.442528736,2.598149637,1.477939031,0.134568028,0.031700113,95.15135229,0.299786497,0.10727654,0.141495867,0.0,0.057731993,6,1,Y,2017-11-02,14.050000000000002,9.7,20.8,79.41666666666667,54.0,96.0,3.0,2.0,10.991666666666667,8.5,13.8
3,3,NC-GSM-4,43041,29,NC,35.4844264,-83.8381136,707.26,1.084269663,2.926336822,1.29516062,0.13453216,0.054778305,95.0006926,0.306422704,0.091716933,0.132643253,0.0,0.057716605,8,2,Y,2017-11-02,14.050000000000002,9.7,20.8,79.41666666666667,54.0,96.0,3.0,2.0,10.991666666666667,8.5,13.8
4,4,NC-GSM-5,43041,29,NC,35.4726543,-83.8513034,587.15,0.46743295,2.940330803,1.614138773,0.173565566,0.046172218,94.59994921,0.275774067,0.119418146,0.172935944,0.0,0.057715273,6,2,Y,2017-11-02,15.116666666666667,10.8,21.8,79.625,55.0,96.0,3.0,2.0,10.991666666666667,8.5,13.8
5,5,MD-AEC-1,43195,30,MD,39.0776349,-76.6060869,4.8,0.301724138,9.825524539,18.29138283,24.10632216,0.192858972,38.80557549,0.55129545,0.564936182,2.226587257,1.283068283,4.152448826,0,0,Y,2018-04-05,4.804166666666667,0.4,9.8,44.625,29.0,66.0,0.0,0.0,15.491666666666667,2.9,25.9
6,6,MD-AEC-4,43195,30,MD,39.0813452,-76.6175255,0.16,0.144469526,6.78513664,18.29096119,26.32911605,0.208102138,37.44747624,0.546268112,0.621369488,2.543167558,1.429863076,5.798539509,0,0,Y,2018-04-05,4.804166666666667,0.4,9.8,44.625,29.0,66.0,0.0,0.0,15.491666666666667,2.9,25.9
7,7,MD-AEC-5,43195,30,MD,39.075347,-76.6167513,27.53,0.220873786,6.549273889,17.64671297,24.08973702,0.208090107,41.16614452,0.633089477,0.617131002,2.63734787,1.390487069,5.061986074,0,0,Y,2018-04-05,4.833333333333333,0.2,9.9,46.541666666666664,29.0,74.0,0.0,0.0,14.679166666666667,4.3,23.3
8,8,MD-AEC-6,43346,30,MD,39.054002,-76.643657,33.06,0.301863354,3.715074707,16.63646195,21.48132593,0.429235922,42.93031216,0.876111677,0.711473241,4.051911507,2.621825093,6.54626781,4,1,Y,2018-09-03,25.133333333333336,21.4,30.8,90.54166666666667,63.0,100.0,5.8,8.0,5.349999999999999,2.8,8.6
9,9,MD-AEC-7,43346,30,MD,39.054562,-76.645786,36.1,0.363513514,3.598044833,17.11904567,21.69110626,0.445348293,42.09947511,0.853968994,0.730354411,4.339732329,2.616053945,6.506870159,6,1,Y,2018-09-03,25.133333333333336,21.4,30.8,90.54166666666667,63.0,100.0,5.8,8.0,5.349999999999999,2.8,8.6
10,10,TX-LL-1,43198,35,TX,33.0642209,-96.9899963,161.53,0.186774942,24.78938231,9.172917493,39.68094017,0.068229006,10.12749377,1.092503837,11.73727844,0.740442166,0.038628114,2.552184693,0,0,N,2018-04-08,7.6625000000000005,3.4,12.9,76.625,66.0,91.0,0.1,1.0,9.966666666666667,4.7,15.3
11,11,TX-LL-2,43198,35,TX,33.0640456,-96.9824472,143.07,0.192941176,25.7036482,8.391520333,38.48359116,0.08583763,10.87808328,1.168567057,11.20254533,0.784711248,0.047431062,3.254064695,4,2,Y,2018-04-08,7.6625000000000005,3.4,12.9,76.625,66.0,91.0,0.1,1.0,9.966666666666667,4.7,15.3
12,12,TX-LL-3,43198,35,TX,33.0645494,-96.9761591,140.17,0.489177489,25.69900194,7.937697608,37.5011022,0.099092631,10.75281007,1.128228383,11.17983213,0.869789764,0.064242256,4.768203022,0,0,N,2018-04-08,7.6625000000000005,3.4,12.9,76.625,66.0,91.0,0.1,1.0,9.966666666666667,4.7,15.3
13,13,TX-LL-4,43198,35,TX,33.0672841,-96.9664378,140.72,0.19695321,26.85098358,7.913711324,36.33430464,0.097549924,9.93163114,0.907738751,12.24933341,0.967317629,0.079298648,4.668130964,0,0,Y,2018-04-08,7.6625000000000005,3.4,12.9,76.625,66.0,91.0,0.1,1.0,9.966666666666667,4.7,15.3
14,14,TX-LL-5,43198,35,TX,33.0635452,-96.9676049,137.14,0.166281755,24.26308944,7.780667897,37.64683672,0.110337305,10.52714382,1.041491861,11.22965263,0.97982044,0.072159758,6.348800134,0,0,N,2018-04-08,7.6625000000000005,3.4,12.9,76.625,66.0,91.0,0.1,1.0,9.966666666666667,4.7,15.3
15,15,TX-CR-1,43198,39,TX,29.3392,-98.8853,233.32,0.23625,0.375876731,6.603761705,2.392515205,0.011752706,16.39019824,47.64694031,2.096179111,0.464651637,21.70724848,2.31087587,6,1,Y,2018-04-08,13.566666666666665,6.9,21.3,61.791666666666664,50.0,72.0,0.0,0.0,9.916666666666666,5.7,15.0
16,16,TX-CR-2,43198,39,TX,29.345,-98.8838,234.92,0.156179775,0.497938551,7.644784241,3.089864054,0.011755716,16.30622801,45.74883912,2.319234871,0.447766834,21.83456349,2.099025115,0,0,N,2018-04-08,13.566666666666665,6.9,21.3,61.791666666666664,50.0,72.0,0.0,0.0,9.916666666666666,5.7,15.0
17,17,TX-CR-3,43198,39,TX,29.3343,-98.887,289.92,0.184757506,0.324691679,7.451327731,2.466775247,0.014062277,15.59527507,48.37717126,1.78863768,0.469092374,21.82570332,1.687263355,3,1,Y,2018-04-08,13.566666666666665,6.9,21.3,61.791666666666664,50.0,72.0,0.0,0.0,9.916666666666666,5.7,15.0
18,18,TX-CR-4,43198,39,TX,29.3381,-98.8836,220.0,0.234278668,0.363946056,6.610393125,2.402673273,0.012376264,15.99726464,47.1162257,1.882660435,0.487708692,22.20553408,2.92121774,4,1,Y,2018-04-08,13.566666666666665,6.9,21.3,61.791666666666664,50.0,72.0,0.0,0.0,9.916666666666666,5.7,15.0
19,19,TX-CR-5,43198,39,TX,29.3372,-98.8821,218.76,0.212303981,0.369970646,6.663461094,2.419297266,0.012598319,15.81551021,46.5854355,1.756625666,0.49910342,22.70910061,3.168897269,2,1,Y,2018-04-08,13.566666666666665,6.9,21.3,61.791666666666664,50.0,72.0,0.0,0.0,9.916666666666666,5.7,15.0
20,20,TX-MC-1,43198,39,TX,29.55563,-98.4477,230.39,0.198564593,0.19943947,24.17647244,56.19595453,1.044642951,7.68345807,5.588713825,0.71756222,0.046605855,0.010286878,4.336863762,4,3,Y,2018-04-08,12.633333333333335,6.2,20.5,65.20833333333333,52.0,80.0,0.0,0.0,9.174999999999999,3.3,13.3
21,21,TX-MC-2,43198,39,TX,29.559,-98.4468,227.41,0.409722222,0.187732174,23.78807869,56.31084253,1.085280749,8.249098571,5.342081583,0.709606643,0.036707408,0.007341482,4.283230168,0,0,N,2018-04-08,12.633333333333335,6.2,20.5,65.20833333333333,52.0,80.0,0.0,0.0,9.174999999999999,3.3,13.3
22,22,TX-MC-3,43198,39,TX,29.5619,-98.4486,234.33,0.227217497,0.17550526,23.81896087,56.54460374,1.088300559,8.743352948,5.275654523,0.669271254,0.023302732,0.007137774,3.653910345,6,1,Y,2018-04-08,12.633333333333335,6.2,20.5,65.20833333333333,52.0,80.0,0.0,0.0,9.174999999999999,3.3,13.3
23,23,TX-MC-4,43198,39,TX,29.5612,-98.4525,230.79,0.319736842,0.196083371,24.01664399,56.54842881,1.047387514,8.100090694,4.996976873,0.636746108,0.02330327,0.007137939,4.427201424,0,0,Y,2018-04-08,12.633333333333335,6.2,20.5,65.20833333333333,52.0,80.0,0.0,0.0,9.174999999999999,3.3,13.3
24,24,TX-MC-5,43198,39,TX,29.562,-98.4572,236.48,0.214532872,0.184956973,24.2365014,58.34416273,1.001622835,8.023059789,4.668221621,0.595179362,0.019104523,0.007137954,2.920052821,0,0,N,2018-04-08,12.633333333333335,6.2,20.5,65.20833333333333,52.0,80.0,0.0,0.0,9.174999999999999,3.3,13.3
25,25,NC-CMSP-1,43212,29,NC,35.2364447,-81.2685146,288.9,0.214371257,0.599601665,16.13425872,14.64963073,0.085207657,51.46563466,1.928295448,1.626500841,11.77775493,1.119872063,0.613243285,0,0,Y,2018-04-22,14.191666666666668,6.8,20.9,61.541666666666664,34.0,93.0,0.0,0.0,8.487499999999999,2.9,12.8
26,26,NC-CMSP-2,43212,29,NC,35.2323662,-81.2722893,337.76,0.214285714,0.600663018,14.87213079,13.66723563,0.087338628,53.66538808,2.116702043,1.709821607,11.5782468,1.124904736,0.577568669,0,0,Y,2018-04-22,14.191666666666668,6.8,20.9,61.541666666666664,34.0,93.0,0.0,0.0,8.487499999999999,2.9,12.8
27,27,NC-CMSP-3,43212,29,NC,35.2314991,-81.2768058,446.24,0.416901408,0.560199984,14.32361466,13.07497109,0.08773458,54.6664092,2.067639583,1.721948547,11.8023999,1.148105626,0.54697683,0,0,N,2018-04-22,12.966666666666669,5.6,19.6,61.208333333333336,34.0,93.0,0.0,0.0,8.487499999999999,2.9,12.8
28,28,NC-CMSP-4,43212,29,NC,35.238171,-81.2742551,353.29,0.255,0.601868374,15.46488926,14.11777055,0.086910885,52.1337252,1.895874882,1.701899864,12.16647423,1.262517057,0.568069697,0,0,Y,2018-04-22,14.191666666666668,6.8,20.9,61.541666666666664,34.0,93.0,0.0,0.0,8.487499999999999,2.9,12.8
29,29,NC-CMSP-5,43212,29,NC,35.2398926,-81.2713556,299.21,0.20383693,0.578296764,16.1849626,14.63835986,0.084173141,50.9598047,1.857686519,1.666040441,12.19481989,1.241186484,0.594669594,6,1,Y,2018-04-22,14.191666666666668,6.8,20.9,61.541666666666664,34.0,93.0,0.0,0.0,8.487499999999999,2.9,12.8
30,30,TX-GCS-1,43218,39,TX,29.54911,-98.76573,311.54,0.324390244,0.032318654,7.781660213,12.16041804,0.627905269,54.7417131,14.94989559,5.853873517,0.0,3.829970305,0.022245307,6,1,Y,2018-04-28,21.391666666666666,15.3,26.6,53.583333333333336,35.0,81.0,0.0,0.0,8.3125,0.7,14.5
31,31,TX-GCS-2,43218,39,TX,29.54993,-98.76425,312.12,0.342210386,0.031903684,7.872444032,12.3576403,0.592317089,55.18015087,14.62867889,5.698375851,0.0,3.616240655,0.022248622,6,2,Y,2018-04-28,21.391666666666666,15.3,26.6,53.583333333333336,35.0,81.0,0.0,0.0,8.3125,0.7,14.5
32,32,TX-GCS-3,43218,39,TX,29.54978,-98.75463,312.27,0.369655172,0.035047734,8.756057277,14.75971315,0.566430147,52.6060194,14.85289396,5.481087865,0.0,2.91819607,0.024554401,0,0,Y,2018-04-28,21.391666666666666,15.3,26.6,53.583333333333336,35.0,81.0,0.0,0.0,8.3125,0.7,14.5
33,33,TX-GCS-4,43218,39,TX,29.55308,-98.7545,325.91,0.332010582,0.035887728,8.367507125,14.22874964,0.566438468,54.63539327,14.20209618,5.244855043,0.0,2.695147392,0.023925152,6,1,Y,2018-04-28,21.391666666666666,15.3,26.6,53.583333333333336,35.0,81.0,0.0,0.0,8.3125,0.7,14.5
34,34,TX-GCS-5,43218,39,TX,29.5391,-98.75099,296.28,0.258064516,0.042420488,10.64271239,17.43671052,0.484265569,45.07029831,15.47717799,7.018490713,0.0,3.801673719,0.026250302,6,3,Y,2018-04-28,21.391666666666666,15.3,26.6,53.583333333333336,35.0,81.0,0.0,0.0,8.3125,0.7,14.5
35,35,TX-DP-1,43226,35,TX,31.03675,-97.5287,211.82,0.366666667,11.39048163,8.536774768,6.498862463,0.054778075,24.52777521,0.614102101,39.01521193,4.495579976,2.173493288,2.692940554,4,1,Y,2018-05-06,22.204166666666666,14.9,27.9,69.5,41.0,100.0,0.0,0.0,5.704166666666667,1.8,10.6
36,36,TX-DP-2,43226,35,TX,31.032478,-97.620277,197.72,0.202830189,10.47942691,8.298459247,12.631866,0.483307637,24.97697786,4.927052851,36.19605005,0.430236095,0.336049841,1.240573508,6,3,Y,2018-05-06,22.204166666666666,14.9,27.9,69.5,41.0,100.0,0.0,0.0,5.704166666666667,1.8,10.6
