Sample ID ,Sampling date,Sampling grid,US state,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (℃ ),Min temperature (℃ ),Wind speed (m/s),Open water (%),Developed open space (< 20% Impervious Cover) (%),Developed open space (> 20% Impervious Cover) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%),Number of Listeria isolates obtained,Listeria species detected,"Number of Listeria isolates selected for WGS (i.e., number of isolates with unique sigB)",If selected for soil property analysis: Yes(Y)/No(N)
NC-GSM-1,43041,29,NC,35.4739788,-83.8700778,487.79,0.428030303,0.213775,4.797286,4.639,7.349340386,140.7794749,73.6059651,0.403704551,79.74674029,120.1748903,53.99608466,15.46567186,0.230138839,43.14729278,7.109516533,20.66778189,1.688486137,173.5749969,7.739676952,-3.062258005,3.666580677,2.63275005,1.647200578,0.167931753,0.027498824,94.91817525,0.27834688,0.117342312,0.153027809,0,0.05772654,6,monocytogenes,1,Y
NC-GSM-2,43041,29,NC,35.4849658,-83.8674553,584.73,0.424074074,0.222551,5.02707,4.677,7.091324811,116.8586181,142.0197271,0.376423983,83.48148754,72.57067775,42.11763796,14.97968921,0.242363755,41.22884895,8.271087633,20.13369369,1.43166501,173.5749969,7.739676952,-3.062258005,3.666580677,2.510852863,1.444879212,0.133089266,0.027919357,95.2959032,0.310471648,0.105589749,0.113566708,0,0.057727994,4,booriae,1,Y
NC-GSM-3,43041,29,NC,35.4814719,-83.8587408,779.8,0.442528736,0.219818,7.488519,4.102,11.59700081,126.6213251,153.0296874,0.525614011,149.5600773,126.7643943,99.44992743,36.26722005,0.297877287,61.25552938,10.76386181,25.13174532,2.318820607,173.5749969,7.739676952,-3.062258005,3.666580677,2.598149637,1.477939031,0.134568028,0.031700113,95.15135229,0.299786497,0.10727654,0.141495867,0,0.057731993,6,innocua,1,Y
NC-GSM-4,43041,29,NC,35.4844264,-83.8381136,707.26,1.084269663,0.477956,7.500354,5.396,11.0852094,137.5844523,1098.005966,0.416151667,24.28039257,219.8493138,232.2258214,42.1055661,0.262505331,55.08899559,7.152155291,16.38864939,2.740382283,173.5749969,7.739676952,-3.062258005,3.666580677,2.926336822,1.29516062,0.13453216,0.054778305,95.0006926,0.306422704,0.091716933,0.132643253,0,0.057716605,8,"booriae, monocytogenes",2,Y
NC-GSM-5,43041,29,NC,35.4726543,-83.8513034,587.15,0.46743295,0.368286,8.885525,4.486,10.81517869,139.4946816,162.7989368,0.415939783,90.91904573,92.74241581,66.60427361,47.69798711,0.233338519,43.66939626,7.753022423,24.59985207,2.542412104,173.5749969,7.739676952,-3.062258005,3.666580677,2.940330803,1.614138773,0.173565566,0.046172218,94.59994921,0.275774067,0.119418146,0.172935944,0,0.057715273,6,"booriae, swaminathanii",2,Y
MD-AEC-1,43195,30,MD,39.0776349,-76.6060869,4.8,0.301724138,0.263871,4.87884,4.337,6.080794781,56.65209873,281.2064054,0,40.20308922,59.02011628,68.47490169,2.306025851,0,31.29445677,6.431300222,20.09801758,2.601502494,-,-,-,-,9.825524539,18.29138283,24.10632216,0.192858972,38.80557549,0.55129545,0.564936182,2.226587257,1.283068283,4.152448826,0,-,0,Y
MD-AEC-4,43195,30,MD,39.0813452,-76.6175255,0.16,0.144469526,0.133438,0.22158,5.396,0.516268657,14.64463056,60.50608864,0,19.22744083,9.781079125,40.21263294,3.029005199,0,79.35737638,1.12105772,8.777185431,2.115093476,-,-,-,-,6.78513664,18.29096119,26.32911605,0.208102138,37.44747624,0.546268112,0.621369488,2.543167558,1.429863076,5.798539509,0,-,0,Y
MD-AEC-5,43195,30,MD,39.075347,-76.6167513,27.53,0.220873786,0.433088,2.64392,3.923,2.713746587,41.02276233,52.18083473,0,118.3779364,14.07754756,13.84068212,2.277711867,0,21.31577668,2.88139982,12.20805976,0.867123961,-,-,-,-,6.549273889,17.64671297,24.08973702,0.208090107,41.16614452,0.633089477,0.617131002,2.63734787,1.390487069,5.061986074,0,-,0,Y
MD-AEC-6,43346,30,MD,39.054002,-76.643657,33.06,0.301863354,0.25018,3.649095,5.306,5.386710875,84.77689935,1286.300514,0.098423059,9.232567711,170.2652392,237.6206392,44.06354266,0.047334315,49.36313253,6.991031248,16.07636833,2.939432468,185.7250214,6.262258053,-2.585161209,3.75249362,3.715074707,16.63646195,21.48132593,0.429235922,42.93031216,0.876111677,0.711473241,4.051911507,2.621825093,6.54626781,4,seeligeri,1,Y
MD-AEC-7,43346,30,MD,39.054562,-76.645786,36.1,0.363513514,0.267627,3.526394,4.775,5.083092979,235.0681291,561.3965639,0.146778992,36.22457149,184.301396,266.2393878,26.99277974,0.057169436,35.84573842,10.90736268,21.0987158,4.468386864,185.7250214,6.262258053,-2.585161209,3.75249362,3.598044833,17.11904567,21.69110626,0.445348293,42.09947511,0.853968994,0.730354411,4.339732329,2.616053945,6.506870159,6,seeligeri,1,Y
