,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (℃ ),Min temperature (℃ ),Wind speed (m/s),Open water (%),Developed open space (< 20% Impervious Cover) (%),Developed open space (> 20% Impervious Cover) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
Latitude,1.0,-0.13952230299537077,0.14607910359655463,0.09858518803087638,0.17000566266718378,0.06008825688943,-0.020315654241934822,0.06128826581598068,-0.06735355211810094,-0.19070197861165805,0.04828277422842928,0.04413674594203664,0.16324797437724825,0.17523936679868857,-0.06581895327256872,-0.1463831860197196,0.09311363078062974,0.1650577969438621,-0.00742451145773517,0.09550738117239176,-0.3942413412560263,-0.8922688195480709,-0.833902409131586,0.3322593132135768,0.08240819966779882,-0.1663011730108875,-0.1875233247204193,-0.07714525828865175,-0.19964364635139475,-0.20094494135427193,0.1689938608380784,0.13795118301083156,0.37334575269698145,-0.03748528408781786
Longitude,-0.13952230299537077,1.0,-0.5780636358254706,0.3512568764803587,0.19775043928732752,0.17871738150168184,-0.46175126981098297,0.18820590137646753,0.3226871370815532,-0.17861809498970183,-0.11591423546721179,0.2974591027684649,-0.4212155428590568,-0.21156525551112615,0.16755141115888159,0.01520023969757461,-0.046458109551608916,-0.07648065626040648,-0.018052274100677487,0.15491894517738652,0.2997943688407292,1.0162055869385534e-05,0.1498040771121612,0.4957731287560103,0.20086710943009178,0.374062720007873,0.130914840045331,-0.14289609784803622,0.24611855879322658,-0.5134751701484669,-0.3382299503380383,0.14397974228306074,0.007791090315542083,0.16372169763988811
Elevation (m),0.14607910359655463,-0.5780636358254706,1.0,-0.2595045067676158,-0.17662585659274965,-0.12587572678790288,0.27216018976389883,-0.1381227056753593,-0.12014229633560408,0.09991721081154996,0.05986063304967382,-0.1315688788339389,0.19189967471296773,-0.04317315979421581,-0.13573925946467938,-0.04306357081106549,0.000984470606970002,0.025944575631959385,-0.048628938729745046,-0.0950211974136935,-0.3069743604239822,-0.2281003151291186,-0.3954549530120263,-0.2872298101206745,-0.24785923168091561,-0.3756542664543456,-0.2653414522371852,0.18214061776298338,0.08856482936053485,0.46137919716129067,0.301426490494875,-0.285521847878407,-0.150230442535743,-0.2675674815995602
Moisture,0.09858518803087638,0.3512568764803587,-0.2595045067676158,1.0,0.7483433687002226,0.7394678073370903,-0.3016733195977007,0.7502854071284639,0.32840837365814435,-0.06840243853368785,-0.0012921318119719924,0.24689692488366258,0.07377545688278556,0.1873918316842478,0.21463378208923678,0.13911730596107055,0.49365435311503303,0.21985367291239435,0.07191964371001673,0.35332290780300885,0.20397535681895568,-0.08757482916342485,-0.026195104311966068,0.30761437832359667,0.34151266364148747,0.028715093054691356,-0.044074788283063854,-0.014502929678681536,0.12052133426815645,-0.2680816997206674,-0.1360047286935329,0.037980930668017374,-0.04128257176166357,0.13430460991992685
Total nitrogen (%),0.17000566266718378,0.19775043928732752,-0.17662585659274965,0.7483433687002226,1.0,0.832859702042695,-0.20945755716466227,0.7602588807262454,0.20918939367645115,0.02667481080146631,-0.035824691135007906,0.12729182403174572,0.22178015245400962,0.24848966495396746,0.1523185738011422,0.057477867410477175,0.3683348277958686,0.36149584530864237,0.0490222954790999,0.4061651046619352,0.05975726037516318,-0.145017695690514,-0.11793591160222136,0.2263962225332842,0.35734752387350777,0.0030919602623274266,-0.022470819264381027,0.017641171414863727,-0.014711713871381352,-0.22787733903403362,-0.0913741539085936,0.06255288990234892,0.06518252912296356,0.07541220669862968
Total carbon (%),0.06008825688943,0.17871738150168184,-0.12587572678790288,0.7394678073370903,0.832859702042695,1.0,-0.2462571537304108,0.8946864611843034,0.31123647167523516,0.14915297266449695,-0.002435928706675008,0.1865731001495523,0.1607253533215717,0.1593317667213105,0.26945706899886546,0.20408602391364888,0.3393443405785402,0.37119510279842644,0.013119967172152705,0.4297710197291326,0.17592673342150067,-0.03618789316568491,-0.005318593562298346,0.13903067207412903,0.2330599566979275,0.010135147971515822,-0.040686148999562,0.036765200243324726,0.1659352140459272,-0.1870987478032545,-0.108493597086659,-0.00812446362310604,-0.06255269199602075,0.023271124625107394
pH,-0.020315654241934822,-0.46175126981098297,0.27216018976389883,-0.3016733195977007,-0.20945755716466227,-0.2462571537304108,1.0,-0.3408440631571647,-0.6162650781691247,0.5389432053246966,-0.06328706683796871,-0.4890749816783743,0.4629639310189791,0.3604398786275957,-0.27617071491100553,0.09842411125340071,0.03022473907968728,0.16761031975519006,0.08119313801602525,-0.1877741248187201,-0.5500130580443438,-0.030445688289400016,-0.15795900946156152,-0.22656136785050393,-0.17952094888424522,-0.18737089632380638,-0.007622253162982658,-0.020660758654942248,-0.48312916927626587,0.36814498994518413,0.37000571626856016,-0.026949106263693477,0.17375787374898857,-0.053539688380230904
Organic matter (%),0.06128826581598068,0.18820590137646753,-0.1381227056753593,0.7502854071284639,0.7602588807262454,0.8946864611843034,-0.3408440631571647,1.0,0.3473504969865487,-0.014040958353294348,0.0022014430054173107,0.1852942451960125,0.1460954591123286,0.13840596994311827,0.31668769966677757,0.13067659383059146,0.33919779446977427,0.2853567788698958,0.009515555276324205,0.37151122888653276,0.22531975743928292,-0.022762902970273984,0.020444344911399584,0.13870760408349683,0.21283136089489255,0.014001457550036242,-0.03969896829823393,0.023458820788010586,0.22379036208674666,-0.22202975664780975,-0.14129397014169634,0.007491783246059924,-0.06971409113477738,0.010561259458110026
Aluminum (mg/Kg),-0.06735355211810094,0.3226871370815532,-0.12014229633560408,0.32840837365814435,0.20918939367645115,0.31123647167523516,-0.6162650781691247,0.3473504969865487,1.0,-0.2515035617253226,0.06996187139359719,0.5426921792773776,-0.25925766679022116,-0.2470147724823565,0.31094598966050757,0.10625086909910707,-0.02796249172292532,-0.09003574315042753,-0.039762422380163476,0.09800670404118003,0.46571265029977915,0.10447499901907209,0.17507519288392706,0.07833868771476483,0.08337311665859776,0.09778708064743281,-0.058818052548015316,0.014118046355738973,0.45486122544676494,-0.16366068270887046,-0.20531376036835844,-0.07178494808451466,-0.24844811544840792,-0.05336598523160047
Calcium (mg/Kg),-0.19070197861165805,-0.17861809498970183,0.09991721081154996,-0.06840243853368785,0.02667481080146631,0.14915297266449695,0.5389432053246966,-0.014040958353294348,-0.2515035617253226,1.0,-0.01923908153011869,-0.16122247375721893,0.3948258170190051,0.26476973171285983,-0.051922067304308366,0.4360003721390956,0.12163857899961544,0.10898649384392757,0.04602915953320582,-0.06024263090307699,-0.26457088627091857,0.14005311588603472,0.05837192113907762,-0.20183422776224713,-0.08699938789945043,-0.0765922313102831,0.007896519142010647,0.029821938038734,-0.18243897049576419,0.1679310390160392,0.26106304919305945,-0.07826048516442885,-0.011256351962290554,-0.04088937387067621
